Strong	Word	Count
329	stir up 	1
330	flourish 	1
331	accursed 	4
331	anathema 	1
331	bind under a great curse 	1
332	curse 	1
332	bind under a curse 	1
332	bind with an oath 	1
332	bind under a great curse 	1
333	behold 	1
333	consider 	1
334	gift 	1
335	importunity 	1
336	death 	2
337	kill 	10
337	slay 	8
337	put to death 	2
337	take up 	1
337	do 	1
337	take away 	1
338	blameless 	1
338	guiltless 	1
339	sit up 	2
340	renew 	1
341	renew 	2
342	renewing 	2
343	untaken away 	1
343	open 	1
344	return 	3
344	turn again 	1
345	sit at meat 	5
345	guests 	2
345	sit 	2
345	sit down 	1
345	be set down 	1
345	lie 	1
345	lean 	1
345	at the table 	1
346	briefly comprehend 	1
346	gather together in one 	1
347	sit down 	3
347	make sit down 	2
347	sit down to meat 	1
347	make sit down to meat 	1
347	lay 	1
348	hinder 	1
349	cry out 	5
350	examine 	6
350	judge 	6
350	ask question 	2
350	search 	1
350	discern 	1
351	examination 	1
352	lift up (one's) self 	3
352	look up 	1
353	take up 	4
353	receive up 	3
353	take 	3
353	take in 	2
353	take into 	1
354	receive up 	1
355	consume 	3
356	proportion 	1
357	consider 	1
358	lose saltness 	1
359	departure 	1
360	return 	1
360	depart 	1
361	without sin 	1
362	wait for 	1
363	call to remembrance 	2
363	call to mind 	1
363	bring to remembrance 	1
363	remember 	1
363	put to remembrance 	1
364	remembrance 	3
364	remembrance again 	1
365	renew 	1
366	recover (one's) self 	1
367	Ananias (of Damascus) 	6
367	Ananias (of Jerusalem) 	3
367	Ananias (high priest) 	2
368	can not be spoken against 	1
369	without gainsaying 	1
370	unworthy 	1
371	unworthily 	2
372	rest 	4
372	rest 	1
373	rest 	4
373	refresh 	4
373	take rest 	2
373	give rest 	1
373	take ease 	1
374	persuade 	1
375	send 	2
375	send again 	2
376	maimed 	2
377	sit down 	7
377	sit down to meat 	2
377	be set down 	1
377	lean 	1
378	fulfil 	2
378	supply 	2
378	occupy 	1
378	fill up 	1
379	without excuse 	1
379	inexcusable 	1
380	open 	1
381	kindle 	3
382	innumerable 	1
383	move 	1
383	stir up 	1
384	subvert 	1
385	pull out 	1
385	draw out 	1
386	resurrection 	39
386	rising again 	1
386	that should rise 	1
386	raised to life again 	1
387	turn upside down 	1
387	make an uproar 	1
387	trouble 	1
388	crucify afresh 	1
389	sigh deeply 	1
390	return 	2
390	have conversation 	2
390	live 	2
390	abide 	1
390	overthrow 	1
390	behave (one's) self 	1
390	be used 	1
390	pass 	1
391	conversation 	13
392	set forth in order 	1
393	be up 	2
393	rise 	2
393	spring up 	1
393	make rise 	1
393	at the rising of 	1
393	spring 	1
393	arise 	1
394	declare 	1
394	communicate 	1
395	east 	9
395	dayspring 	1
396	overthrow 	1
396	subvert 	1
397	nourish 	1
397	nourish up 	1
397	bring up 	1
398	appear 	1
398	discover 	1
399	offer up 	3
399	bear 	2
399	offer 	2
399	bring up 	1
399	lead up 	1
399	carry up 	1
400	speak out 	1
401	excess 	1
402	depart 	8
402	withdraw (one's) self 	2
402	go aside 	2
402	turn aside 	1
402	give place 	1
403	refreshing 	1
404	refresh 	1
405	manstealer 	1
406	Andrew 	13
407	quit you like men 	1
408	Andronicus 	1
409	manslayer 	1
410	blameless 	4
410	unreproveable 1 	
411	unspeakable 	1
412	unspeakable 	1
413	not to fail 	1
414	more tolerable 	6
415	unmerciful 	1
416	driven with the wind 	1
417	wind 	31
418	impossible 	1
419	unsearchable 	1
420	patient 	1
421	past finding out 	1
421	unsearchable 	1
422	that needeth not to be ashamed 	1
423	blameless 	2
423	unrebukeable 	1
424	go up 	3
425	rest 	3
425	liberty 	1
425	be eased 	1
426	examine 	2
427	without 	3
428	not commodious 	1
429	find 	2
430	suffer 	7
430	bear with 	4
430	forbear 	2
430	endure 	2
431	sister's son 	1
432	anise 	1
433	be convenient 	2
433	be fit 	1
434	fierce 	1
435	man 	156
435	husband 	50
435	sir 	6
435	fellow 	1
435	not translated 	2
436	resist 	9
436	withstand 	5
437	give thanks 	1
438	flower 	4
439	fire of coals 	2
440	coals of fire 	1
441	menpleasers 	2
442	man's 	3
442	after the manner of man 	1
442	of man 	1
442	common to man 	1
442	mankind 	1
443	murderer 	3
444	man 	552
444	not translated 	4
444	miscellaneous 	3
445	be deputy 	1
446	deputy 	4
447	loose 	2
447	forbear 	1
447	leave 	1
448	without mercy 	1
449	unwashen 	3
450	arise 	38
450	rise 	19
450	rise up 	16
450	rise again 	13
450	raise up 	11
450	stand up 	8
450	raise up again 	2
450	miscellaneous 	5
451	Anna 	1
452	Annas 	4
453	foolish 	4
453	fool 	1
453	unwise 	1
454	madness 	1
454	folly 	1
455	open 	77
456	build again 	2
457	that (one) may open 	1
458	iniquity 	12
458	unrighteousness 	1
458	transgress the law 	1
458	transgression of the law 	1
459	without law 	4
459	transgressor 	2
459	wicked 	2
459	lawless 	1
459	unlawful 	1
460	without law 	2
461	make straight 	1
461	set up 	1
461	lift up 	1
462	unholy 	2
463	forbearance 	2
464	strive against 	1
465	in exchange 	2
466	fill up 	1
467	recompense 	4
467	recompense again 	1
467	repay 	1
467	render 	1
468	recompense 	2
469	reward 	1
470	answer again 	1
470	reply again 	1
471	gainsay 	1
471	say against 	1
472	hold to 	2
472	support 	1
472	holdfast 	1
472	holdfast 	1
473	for 	15
473	because 	4
473	for ... cause 	1
473	therefore + (3639) 	1
473	in the room of 	1
474	have 	1
475	oppose (one's) self 	1
476	adversary 	5
477	opposition 	1
478	resist 	1
479	bid again 	1
480	adversary 	5
480	be contrary 	2
480	oppose 	1
481	over against 	1
482	help 	1
482	support 	1
482	partaker 	1
482	partaker 	1
483	speak against 	5
483	deny 	1
483	contradict 	1
483	gainsay 	1
483	gainsayer 	1
483	answer again 	1
484	help 	1
485	contradiction 	2
485	strife 	1
485	gainsaying 	1
486	revile again 	1
487	ransom 	1
488	measure again 	2
489	recompense 	2
490	Antioch 	18
491	of Antioch 	1
492	pass by on the other side 	2
493	Antipas 	1
494	Antipatris 	1
495	over against 	1
496	resist 	1
497	war against 	1
498	resist 	4
498	oppose (one's) self 	1
499	figure 	1
499	like figure whereinto 	1
499	like figure whereinto 	1
500	antichrist 	5
501	draw 	3
501	draw out 	1
502	nothing to draw with 	1
503	bear up into 	1
504	dry 	2
504	without water 	2
505	unfeigned 	4
505	without dissimulation 	1
505	without hypocrisy 	1
506	unruly 	2
506	disobedient 	1
506	that is not put under 	1
507	above 	5
507	up 	2
507	high 	1
507	brim 	1
508	upper room 	2
509	from above 	5
509	top 	3
509	again 	2
509	from the first 	1
509	from the beginning 	1
509	not translated 	1
510	upper 	1
511	higher 	1
511	above 	1
512	unprofitable 	1
512	unprofitableness 	1
513	axe 	2
514	worthy 	35
514	meet 	4
514	due reward 	1
514	unworthy 	1
515	count worthy 	3
515	think worthy 	2
515	think good 	1
515	desire 	1
516	worthy 	3
516	as becometh 	2
516	after a godly sort 	1
517	invisible 	4
517	invisible things 	1
518	tell 	26
518	show 	10
518	declare 	3
518	report 	2
518	bring word 	1
518	bring word again 	1
518	show again 	1
518	vr 	
519	hang (one's) self 	1
520	lead away 	10
520	lead 	2
520	put to death 	1
520	bring 	1
520	take away 	1
520	carry away 	1
521	unlearned 	1
522	take away 	2
522	take 	1
523	ask again 	1
523	requite 	1
523	requite 	1
524	be past feeling 	1
525	deliver 	2
525	depart 	1
526	be alienated with 	2
526	be alien 	1
527	tender 	2
528	meet 	7
529	to meet 	4
530	once 	15
531	unchangeable 	1
532	unprepared 	1
533	deny 	13
534	from henceforth 	1
535	finish 	1
536	firstfruits 	8
537	all 	34
537	all things 	5
537	whole 	3
537	every one 	1
537	every 	1
538	deceive 	4
539	deceitfulness 	3
539	deceitful 	1
539	deceit 	1
539	deceivableness 	1
539	deceivings 	1
540	without father 	1
541	brightness 	1
542	see 	1
543	unbelief 	4
543	disobedient 	3
544	believe not 	8
544	disobedient 	4
544	obey not 	3
544	unbelieving 	1
545	disobedient 	6
546	threaten 	2
547	threatening 	3
547	straitly 	1
548	be absent 	6
548	absent 	1
549	go 	1
550	renounce 	1
551	cannot be tempted 	1
552	unskilful 	1
553	wait for 	5
553	look for 	2
554	spoil 	1
554	put off 	1
555	putting off 	1
556	drive 	1
557	nought 	1
558	freeman 	1
559	Apelles 	1
560	hope for again 	1
561	over against 	2
561	before 	2
561	in the presence of 	1
561	contrary 	1
562	endless 	1
563	without distraction 	1
564	uncircumcised 	1
